Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify 'Timeline' title is under 'My courses' section,EL-62,10087,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 11:08 AM,07/Sep/21 7:02 AM,06/Sep/21 11:09 AM,07/Sep/21 7:02 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:m,,EL Sprint 1,,,,,,,,Done
Verify 'Achieved skills' title is in bold under subscribed course name,EL-61,10086,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 10:54 AM,07/Sep/21 7:02 AM,06/Sep/21 10:54 AM,07/Sep/21 7:02 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:b,,EL Sprint 1,,,,,,,,Done
Verify 'Achieved skills' title is under subscribed course,EL-60,10085,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 10:38 AM,07/Sep/21 7:04 AM,06/Sep/21 10:39 AM,07/Sep/21 7:04 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:5,,EL Sprint 1,,,,,,,,Done
Verify 'There is no test for the moment' message displays if there is no test added in the subscribed course,EL-59,10084,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 10:33 AM,07/Sep/21 7:04 AM,06/Sep/21 10:33 AM,07/Sep/21 7:04 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006t:,,EL Sprint 1,,,,,,,,Done
Verify 'No learning path' message displays if there is no path added in course,EL-58,10083,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 10:14 AM,07/Sep/21 7:04 AM,06/Sep/21 10:39 AM,07/Sep/21 7:04 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006s:i,,EL Sprint 1,,,,,,,,Done
Verify login date is showing under 'Latest login' title of subscribed course,EL-57,10082,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 10:07 AM,07/Sep/21 7:04 AM,06/Sep/21 10:07 AM,07/Sep/21 7:04 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006s:,,EL Sprint 1,,,,,,,,Done
Verify 'Latest login' title is under subscribed course,EL-56,10081,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 9:54 AM,07/Sep/21 7:05 AM,06/Sep/21 10:03 AM,07/Sep/21 7:05 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006r:i,,EL Sprint 1,,,,,,,,Done
Verify score is showing under 'Best score' title in subscribed course,EL-55,10080,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 9:43 AM,07/Sep/21 7:05 AM,06/Sep/21 10:02 AM,07/Sep/21 7:05 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006r:,,EL Sprint 1,,,,,,,,Done
Verify 'Best score' title is showing under subscribed course,EL-54,10079,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 9:39 AM,07/Sep/21 7:05 AM,06/Sep/21 10:02 AM,07/Sep/21 7:05 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:zv,,EL Sprint 1,,,,,,,,Done
Verify score is showing under 'score' title after giving the test,EL-53,10078,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 9:28 AM,07/Sep/21 7:05 AM,06/Sep/21 9:59 AM,07/Sep/21 7:05 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:zm,,EL Sprint 1,,,,,,,,Done
