Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify 'score' title is showing under subscribed course name,EL-52,10077,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 9:24 AM,07/Sep/21 7:05 AM,06/Sep/21 10:01 AM,07/Sep/21 7:05 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:zli,,EL Sprint 1,,,,,,,,Done
Verify progress information is showing under 'Progress' title,EL-51,10076,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 9:15 AM,07/Sep/21 7:05 AM,06/Sep/21 9:47 AM,07/Sep/21 7:05 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:zl,,EL Sprint 1,,,,,,,,Done
Verify 'Progress' title is showing under subscribed course name,EL-50,10075,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 9:11 AM,07/Sep/21 7:05 AM,07/Sep/21 5:20 AM,07/Sep/21 7:05 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:zki,,EL Sprint 1,,,,,,,,Done
Verify time is showing in 'Time spent' title under subscribed course name,EL-49,10074,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 9:06 AM,07/Sep/21 7:05 AM,06/Sep/21 9:07 AM,07/Sep/21 7:05 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:zk,,EL Sprint 1,,,,,,,,Done
Verify the 'Time spent' title is under subscribed course name,EL-48,10073,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 8:58 AM,07/Sep/21 7:05 AM,06/Sep/21 8:58 AM,07/Sep/21 7:05 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:zi,,EL Sprint 1,,,,,,,,Done
Verify the path is showing in 'Learning paths' title under subscribed course name,EL-47,10072,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 8:53 AM,07/Sep/21 7:06 AM,06/Sep/21 8:53 AM,07/Sep/21 7:06 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:ze9,,EL Sprint 1,,,,,,,,Done
Verify 'Learning paths' title is under particular course test,EL-46,10071,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 6:43 AM,07/Sep/21 7:07 AM,06/Sep/21 6:43 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:ze4,,EL Sprint 1,,,,,,,,Done
Verify colour change of entire row while moving the cursor from one row to another,EL-45,10070,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 6:25 AM,07/Sep/21 7:07 AM,06/Sep/21 6:26 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:ze3i,,EL Sprint 1,,,,,,,,Done
Verify blue colour i icon is showing beside 'Statistics' title,EL-44,10069,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 6:02 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:ze39,,EL Sprint 1,,,,,,,,Done
Verify 'Statistics' title under a particular course test,EL-43,10068,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 5:43 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:ze3,,EL Sprint 1,,,,,,,,Done
Verify best result is showing under 'Best result in course' title of a particular course test,EL-42,10067,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 5:26 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:ze2,,EL Sprint 1,,,,,,,,Done
Verify 'Best result in course' title is under particular course test,EL-41,10066,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 5:18 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:ze,,EL Sprint 1,,,,,,,,Done
Verify that user is able to see the rank under 'Ranking' section,EL-40,10065,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 5:14 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:zc,,EL Sprint 1,,,,,,,,Done
Verify the 'Ranking' is showing under particular course test,EL-39,10064,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 5:08 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:zb,,EL Sprint 1,,,,,,,,Done
Verify the number is showing under 'Best attempt',EL-38,10063,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 4:58 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:za,,EL Sprint 1,,,,,,,,Done
Verify 'Best attempt' is showing under particular course test,EL-37,10062,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 4:39 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:z9,,EL Sprint 1,,,,,,,,Done
Verify all the name of test are coming one after the other if there are multiple test in one course,EL-36,10061,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 4:34 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:y6,,EL Sprint 1,,,,,,,,Done
Verify 'There is no test for the moment' message when no test is added to any particular course,EL-35,10060,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 4:19 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:y5,,EL Sprint 1,,,,,,,,Done
Verify the number of attempts is showing in digit under 'Attempts' title of a particular course,EL-34,10059,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 4:13 AM,07/Sep/21 7:07 AM,07/Sep/21 5:31 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:y4,,EL Sprint 1,,,,,,,,Done
Verify the number of attempts is showing under 'Attempts' title of a particular course,EL-33,10058,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 4:09 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:x,,EL Sprint 1,,,,,,,,Done
Verify 'Attempts' title is under particular course test,EL-32,10057,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,06/Sep/21 4:04 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:w,,EL Sprint 1,,,,,,,,Done
"Verify after clicking on the name of the test, it lands to My courses page and user is able to click on 'Proceed with the test' button",EL-31,10056,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 11:44 AM,07/Sep/21 7:07 AM,09/Sep/21 4:51 AM,07/Sep/21 7:07 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:v,,EL Sprint 1,,,,,,,,Done
"Verify after clicking on the name of the test, it lands to My courses page",EL-30,10055,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 11:38 AM,07/Sep/21 7:08 AM,09/Sep/21 4:51 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:t,,EL Sprint 1,,,,,,,,Done
"Verify while removing cursor from any test name, colour and underline is removed from the test name",EL-29,10054,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 11:26 AM,07/Sep/21 7:08 AM,09/Sep/21 4:51 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:o,,EL Sprint 1,,,,,,,,Done
"Verify while placing cursor on  any test name, colour and underline is applied to the test name",EL-28,10053,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 11:10 AM,07/Sep/21 7:08 AM,09/Sep/21 4:51 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:l,,EL Sprint 1,,,,,,,,Done
"Verify under the tests heading , the name of particular test is coming or not",EL-27,10052,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 11:03 AM,07/Sep/21 7:08 AM,09/Sep/21 4:51 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:k,,EL Sprint 1,,,,,,,,Done
"Verify that after clicking the '>>' sign, the 'Tests' heading is appearing under a particular course or not",EL-26,10051,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 9:58 AM,07/Sep/21 7:08 AM,09/Sep/21 4:51 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:j,,EL Sprint 1,,,,,,,,Done
"Verify that after clicking the '>>' sign, the details of course test are displayed in a horizontal line",EL-25,10050,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 9:24 AM,07/Sep/21 7:08 AM,09/Sep/21 4:51 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:i,,EL Sprint 1,,,,,,,,Done
"Verify that after clicking the '>>' sign, the details of the test of a particular course is displayed below",EL-24,10049,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 8:50 AM,07/Sep/21 7:08 AM,09/Sep/21 4:51 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:c,,EL Sprint 1,,,,,,,,Done
Verify that after clicking '>>' sign there is a change in colour,EL-23,10048,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 8:44 AM,07/Sep/21 7:08 AM,07/Sep/21 5:17 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006p:,,EL Sprint 1,,,,,,,,Done
Verify '>>' sign is clickable or not under 'Details' section,EL-22,10047,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 7:31 AM,07/Sep/21 7:08 AM,07/Sep/21 3:43 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006o:i,,EL Sprint 1,,,,,,,,Done
Verify '>>' sign is under 'Details' section,EL-21,10046,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 7:29 AM,07/Sep/21 7:08 AM,07/Sep/21 3:43 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006o:,,EL Sprint 1,,,,,,,,Done
Verify 'Details' is under My courses section,EL-20,10045,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 7:23 AM,07/Sep/21 7:08 AM,07/Sep/21 3:43 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006n:i,,EL Sprint 1,,,,,,,,Done
Verify latest course is on top row under course section,EL-19,10044,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 7:19 AM,07/Sep/21 7:08 AM,07/Sep/21 3:44 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006n:h,,EL Sprint 1,,,,,,,,Done
Verify multiple courses have their latest login date under latest login section,EL-18,10043,Test,Done,EL,Elearning,software,Srishti Karn,612ef834448a6b00690cd31e,,Medium,Done,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,Srishti Karn,612ef834448a6b00690cd31e,03/Sep/21 5:53 AM,07/Sep/21 7:08 AM,07/Sep/21 3:44 AM,07/Sep/21 7:08 AM,,0,,,Srishti Karn,612ef834448a6b00690cd31e,,,,,,,,,,EL-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0006n:g,,EL Sprint 1,,,,,,,,Done
